NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
HR046;00159;BELICA;BELICA;no;3176;27707208;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04B;00167;BELIŠĆE;BELIŠĆE;no;10825;70185470;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR033;00175;BENKOVAC;BENKOVAC;no;11026;514461410;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR007L;no;Zadar
HR047;00183;BEREK;BEREK;no;1443;110955499;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR044;00191;BERETINEC;BERETINEC;no;2176;12340919;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR033;00205;BIBINJE;BIBINJE;no;3985;14267922;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR007L;no;Zadar
HR034;06211;BILICE;BILICE;no;2307;20949689;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04B;00213;BILJE;BILJE;no;5642;259533005;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
HR033;00221;BIOGRAD NA MORU;BIOGRAD NA MORU;no;5569;37176718;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR034;03107;BISKUPIJA;BISKUPIJA;no;1699;133417125;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR042;05479;BISTRA;BISTRA;no;6632;52891638;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR04B;00230;BIZOVAC;BIZOVAC;no;4507;100594375;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
