NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (km2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
DEF06;01053099;Poggensee;Poggensee;no;367;5,44;3;;;;;;;;;;;;
DEF06;01053100;Ratzeburg, Stadt;Ratzeburg, Stadt;no;14595;30,29;2;;;;;;;;;;;;
DEF06;01053101;Ritzerau;Ritzerau;no;313;11,11;3;;;;;;;;;;;;
DEF06;01053102;Römnitz;Römnitz;no;61;5,15;3;;;;;;;;;;;;
DEF06;01053103;Rondeshagen;Rondeshagen;no;814;9,51;3;;;;;;;;;;;;
DEF06;01053104;Roseburg;Roseburg;no;543;16,24;3;;;;;;;;;;;;
DEF06;01053105;Sachsenwald (Forstgutsbez.),gemfr.Geb.;Sachsenwald (Forstgutsbez.),gemfr.Geb.;no;0;58,49;3;;;;;;;;;;;;
DEF06;01053106;Sahms;Sahms;no;381;5,95;3;;;;;;;;;;;;
DEF06;01053107;Salem;Salem;no;607;25,10;3;;;;;;;;;;;;
DEF06;01053108;Sandesneben;Sandesneben;no;1813;6,13;3;;;;;;;;;;;;
DEF06;01053109;Schiphorst;Schiphorst;no;644;8,15;3;;;;;;;;;;;;
DEF06;01053110;Schmilau;Schmilau;no;547;11,55;3;;;;;;;;;;;;
DEF06;01053111;Schnakenbek;Schnakenbek;no;841;13,02;3;;;;;;;;;;;;
DEF06;01053112;Schönberg;Schönberg;no;1360;14,77;3;;;;;;;;;;;;
DEF06;01053113;Schretstaken;Schretstaken;no;515;8,47;3;;;;;;;;;;;;
DEF06;01053114;Schürensöhlen;Schürensöhlen;no;154;2,75;3;;;;;;;;;;;;
DEF06;01053115;Schulendorf;Schulendorf;no;467;11,38;3;;;;;;;;;;;;
DEF06;01053116;Schwarzenbek, Stadt;Schwarzenbek, Stadt;no;16374;11,55;2;;;;;;;;;;;;
DEF06;01053117;Seedorf;Seedorf;no;506;27,88;3;;;;;;;;;;;;
DEF06;01053118;Siebenbäumen;Siebenbäumen;no;627;8,82;3;;;;;;;;;;;;
DEF06;01053119;Siebeneichen;Siebeneichen;no;256;4,68;3;;;;;;;;;;;;
DEF06;01053120;Sierksrade;Sierksrade;no;408;4,00;3;;;;;;;;;;;;
DEF06;01053121;Sirksfelde;Sirksfelde;no;323;8,62;3;;;;;;;;;;;;
DEF06;01053122;Steinhorst;Steinhorst;no;582;16,29;3;;;;;;;;;;;;
DEF06;01053123;Sterley;Sterley;no;926;21,39;3;;;;;;;;;;;;
DEF06;01053124;Stubben;Stubben;no;381;5,33;3;;;;;;;;;;;;
DEF06;01053125;Talkau;Talkau;no;522;4,88;3;;;;;;;;;;;;
DEF06;01053126;Tramm;Tramm;no;355;6,74;3;;;;;;;;;;;;
DEF06;01053127;Walksfelde;Walksfelde;no;228;3,51;3;;;;;;;;;;;;
