NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
UKD45;E07000123;Preston;;No;141801;142944800;1;No;;;UK562C1;No;Preston;UK562K1;No;Preston;UK562L2;No;Preston
UKD45;E07000126;South Ribble;;No;110118;114614900;1;No;;;;;;UK562K1;No;Preston;UK562L2;No;Preston
UKH15;E07000148;Norwich;;No;141041;40554100;1;No;;;UK566C1;No;Norwich;;;;UK566L1;No;Norwich
UKD63;E06000050;Cheshire West and Chester;;No;335680;941207100;1;No;;;UK568C2;No;Cheshire West and Chester;;;;UK568L1;No;Cheshire West and Chester
UKH14;E07000202;Ipswich;;No;135908;40300200;1;No;;;UK569C1;No;Ipswich;;;;UK569L2;No;Ipswich
UKK13;E07000078;Cheltenham;;No;117530;46596200;1;No;;;UK571C1;No;Cheltenham;;;;UK571L1;No;Cheltenham
UKH23;E07000243;Stevenage;;No;87081;25969100;1;No;;;UK021C1;No;Stevenage;;;;;;
UKL23;W06000006;Wrexham;;No;136710;503773900;1;No;;;UK022C1;No;Wrexham;;;;;;
UKK12;E06000022;Bath and North East Somerset;;No;187751;351123400;1;No;;;UK031C1;No;Bath and North East Somerset;;;;;;
UKJ44;E07000114;Thanet;;No;140652;112339000;1;No;;;UK034C1;No;Thanet;;;;;;
UKH14;E07000206;Waveney;;No;116514;374786400;1;No;;;UK038C1;No;Waveney;;;;;;
UKJ45;E07000105;Ashford;;No;126151;580617400;1;No;;;UK041C1;No;Ashford;;;;;;
UKG24;E07000193;East Staffordshire;;No;116701;389985300;1;No;;;UK043C1;No;East Staffordshire;;;;;;
UKC13;E06000005;Darlington;;No;105646;197475800;1;No;;;UK044C1;No;Darlington;;;;;;
UKJ27;E07000229;Worthing;;No;108605;33782600;1;No;;;UK045C1;No;Worthing;;;;;;
UKF15;E07000174;Mansfield;;No;107435;76697000;1;No;;;UK046C1;No;Mansfield;;;;;;
UKF12;E07000034;Chesterfield;;No;104440;66035200;1;No;;;UK047C1;No;Chesterfield;;;;;;
UKH15;E07000145;Great Yarmouth;;No;99164;182472000;1;No;;;UK051C1;No;Great Yarmouth;;;;;;
UKJ22;E07000061;Eastbourne;;No;103054;45529000;1;No;;;UK055C1;No;Eastbourne;;;;;;
UKG12;E07000236;Redditch;;No;84971;54250900;1;No;;;UK059C1;No;Redditch;;;;;;
UKD71;E06000006;Halton;;No;126903;90321500;1;No;;;UK062C1;No;Halton;;;;;;
UKE31;E08000017;Doncaster;;No;306397;568551000;1;No;;;UK506C1;No;Doncaster;;;;;;
UKC23;E08000024;Sunderland;;No;277962;139630200;1;No;;;UK510C1;No;Sunderland;;;;;;
UKJ41;E06000035;Medway;;No;278542;269063700;1;No;;;UK513C1;No;Medway;;;;;;
UKJ12;E06000042;Milton Keynes;;No;264479;308626700;1;No;;;UK525C1;No;Milton Keynes;;;;;;
UKD61;E06000007;Warrington;;No;208809;182383400;1;No;;;UK531C1;No;Warrington;;;;;;
UKH21;E06000032;Luton;;No;216791;43352500;1;No;;;UK532C1;No;Luton;;;;;;
UKE21;E06000014;York;;No;208367;272014800;1;No;;;UK533C1;No;York;;;;;;
UKK14;E06000030;Swindon;;No;217905;230093200;1;No;;;UK535C1;No;Swindon;;;;;;
UKJ13;E07000007;Wycombe;;No;176868;324572000;1;No;;;UK540C1;No;Wycombe;;;;;;
UKG21;E06000020;Telford and Wrekin;;No;172976;290313700;1;No;;;UK542C1;No;Telford and Wrekin;;;;;;
UKE13;E06000012;North East Lincolnshire;;No;159144;203553900;1;No;;;UK543C1;No;North East Lincolnshire;;;;;;
UKH11;E06000031;Peterborough;;No;197095;343437900;1;No;;;UK545C1;No;Peterborough;;;;;;
UKJ37;E07000084;Basingstoke and Deane;;No;174588;633817200;1;No;;;UK548C1;No;Basingstoke and Deane;;;;;;
UKH24;E06000055;Bedford;;No;168751;476408300;1;No;;;UK549C1;No;Bedford;;;;;;
UKM76;S30000009;Falkirk;;No;159380;314931400;1;No;;;UK551C1;No;Falkirk;;;;;;
